path,name,utc_ctime_estimate,utc_modified_time_estimate,utc_accessed_time_estimate,megabytes,extension,type
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220314_123006.jpg,20220314_123006.jpg,2024-12-13 02:07:07.268447399+00:00,2022-03-14 16:30:08+00:00,2024-12-14 08:57:54.347986221+00:00,2.643794,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220314_130433.jpg,20220314_130433.jpg,2024-12-13 02:07:07.275366545+00:00,2022-03-14 17:04:34+00:00,2024-12-14 08:57:53.450117826+00:00,1.277519,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220314_132713.jpg,20220314_132713.jpg,2024-12-13 02:07:07.283450365+00:00,2022-03-14 17:27:14+00:00,2024-12-14 08:57:52.281236649+00:00,1.466423,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220314_165355.jpg,20220314_165355.jpg,2024-12-13 02:07:07.314193487+00:00,2022-03-14 20:53:57+00:00,2024-12-14 08:57:50.080697775+00:00,2.281899,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220314_165359.jpg,20220314_165359.jpg,2024-12-13 02:07:07.328030586+00:00,2022-03-14 20:54:01+00:00,2024-12-14 08:57:50.129575490+00:00,2.656079,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220314_180141.jpg,20220314_180141.jpg,2024-12-13 02:07:07.350810766+00:00,2022-03-14 22:01:42+00:00,2024-12-14 08:57:50.018196106+00:00,2.308387,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220314_180147.jpg,20220314_180147.jpg,2024-12-13 02:07:07.362113714+00:00,2022-03-14 22:01:48+00:00,2024-12-14 08:57:49.940534115+00:00,2.060277,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220314_180148.jpg,20220314_180148.jpg,2024-12-13 02:07:07.373318911+00:00,2022-03-14 22:01:49+00:00,2024-12-14 08:57:49.925586700+00:00,2.049506,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220314_202745.jpg,20220314_202745.jpg,2024-12-13 02:07:07.380568743+00:00,2022-03-15 00:27:54+00:00,2024-12-14 08:57:48.644134283+00:00,1.219845,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220314_202819.jpg,20220314_202819.jpg,2024-12-13 02:07:07.401078939+00:00,2022-03-15 00:28:27+00:00,2024-12-14 08:57:48.712499142+00:00,2.090192,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220314_202822.jpg,20220314_202822.jpg,2024-12-13 02:07:07.413143158+00:00,2022-03-15 00:28:45+00:00,2024-12-14 08:57:48.773944378+00:00,2.067749,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220314_202824.jpg,20220314_202824.jpg,2024-12-13 02:07:07.421094418+00:00,2022-03-15 00:28:34+00:00,2024-12-14 08:57:48.700461149+00:00,1.627057,jpg,pic
